station_id,bikes_out,bikes_in,station_name,lat,lng,bikes_chng,ride_date
7631.23,1.0,1.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,0.0,2023-02-01 00:00:00
7617.07,2.0,1.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,-1.0,2023-02-01 00:00:00
6306.01,1.0,0.0,W 20 St & 10 Ave,40.745686,-74.005141,-1.0,2023-02-01 00:00:00
5980.07,3.0,2.0,E 17 St & Broadway,40.73704984,-73.99009296,-1.0,2023-02-01 00:00:00
5905.14,0.0,1.0,University Pl & E 14 St,40.734814,-73.992085,1.0,2023-02-01 00:00:00
6224.03,1.0,0.0,W 22 St & 8 Ave,40.74475148,-73.99915362,-1.0,2023-02-01 00:00:00
6266.06,1.0,0.0,9 Ave & W 22 St,40.745516062,-74.001939893,-1.0,2023-02-01 01:00:00
5905.14,0.0,1.0,University Pl & E 14 St,40.734814,-73.992085,1.0,2023-02-01 01:00:00
6224.03,1.0,0.0,W 22 St & 8 Ave,40.74475148,-73.99915362,-1.0,2023-02-01 01:00:00
7619.05,0.0,2.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,2.0,2023-02-01 01:00:00
6224.03,1.0,1.0,W 22 St & 8 Ave,40.74475148,-73.99915362,0.0,2023-02-01 02:00:00
5905.14,1.0,0.0,University Pl & E 14 St,40.734814,-73.992085,-1.0,2023-02-01 02:00:00
6306.01,1.0,1.0,W 20 St & 10 Ave,40.745686,-74.005141,0.0,2023-02-01 03:00:00
6224.03,1.0,1.0,W 22 St & 8 Ave,40.74475148,-73.99915362,0.0,2023-02-01 03:00:00
5905.14,0.0,1.0,University Pl & E 14 St,40.734814,-73.992085,1.0,2023-02-01 03:00:00
6224.03,1.0,0.0,W 22 St & 8 Ave,40.74475148,-73.99915362,-1.0,2023-02-01 04:00:00
7617.07,6.0,0.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,-6.0,2023-02-01 04:00:00
5905.14,0.0,3.0,University Pl & E 14 St,40.734814,-73.992085,3.0,2023-02-01 04:00:00
7631.23,0.0,6.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,6.0,2023-02-01 04:00:00
6306.01,0.0,5.0,W 20 St & 10 Ave,40.745686,-74.005141,5.0,2023-02-01 05:00:00
7619.05,1.0,2.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,1.0,2023-02-01 05:00:00
5980.07,0.0,1.0,E 17 St & Broadway,40.73704984,-73.99009296,1.0,2023-02-01 05:00:00
6266.06,1.0,0.0,9 Ave & W 22 St,40.745516062,-74.001939893,-1.0,2023-02-01 05:00:00
7617.07,10.0,0.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,-10.0,2023-02-01 05:00:00
7631.23,6.0,11.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,5.0,2023-02-01 05:00:00
6224.03,3.0,0.0,W 22 St & 8 Ave,40.74475148,-73.99915362,-3.0,2023-02-01 05:00:00
5905.14,0.0,4.0,University Pl & E 14 St,40.734814,-73.992085,4.0,2023-02-01 05:00:00
7631.23,2.0,8.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,6.0,2023-02-01 06:00:00
6266.06,6.0,3.0,9 Ave & W 22 St,40.745516062,-74.001939893,-3.0,2023-02-01 06:00:00
7617.07,9.0,0.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,-9.0,2023-02-01 06:00:00
6306.01,4.0,9.0,W 20 St & 10 Ave,40.745686,-74.005141,5.0,2023-02-01 06:00:00
6224.03,4.0,1.0,W 22 St & 8 Ave,40.74475148,-73.99915362,-3.0,2023-02-01 06:00:00
5905.14,10.0,4.0,University Pl & E 14 St,40.734814,-73.992085,-6.0,2023-02-01 06:00:00
7619.05,4.0,2.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,-2.0,2023-02-01 06:00:00
5980.07,0.0,1.0,E 17 St & Broadway,40.73704984,-73.99009296,1.0,2023-02-01 06:00:00
7646.04,1.0,2.0,W 110 St & Amsterdam Ave,40.802558184,-73.96272707,1.0,2023-02-01 07:00:00
7631.23,8.0,4.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,-4.0,2023-02-01 07:00:00
7619.05,12.0,4.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,-8.0,2023-02-01 07:00:00
5980.07,2.0,2.0,E 17 St & Broadway,40.73704984,-73.99009296,0.0,2023-02-01 07:00:00
5905.14,20.0,18.0,University Pl & E 14 St,40.734814,-73.992085,-2.0,2023-02-01 07:00:00
6266.06,6.0,4.0,9 Ave & W 22 St,40.745516062,-74.001939893,-2.0,2023-02-01 07:00:00
6306.01,5.0,6.0,W 20 St & 10 Ave,40.745686,-74.005141,1.0,2023-02-01 07:00:00
6224.03,7.0,1.0,W 22 St & 8 Ave,40.74475148,-73.99915362,-6.0,2023-02-01 07:00:00
6266.06,19.0,3.0,9 Ave & W 22 St,40.745516062,-74.001939893,-16.0,2023-02-01 08:00:00
7646.04,6.0,6.0,W 110 St & Amsterdam Ave,40.802558184,-73.96272707,0.0,2023-02-01 08:00:00
7631.23,8.0,3.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,-5.0,2023-02-01 08:00:00
7617.07,1.0,1.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,0.0,2023-02-01 08:00:00
5980.07,4.0,21.0,E 17 St & Broadway,40.73704984,-73.99009296,17.0,2023-02-01 08:00:00
6224.03,14.0,14.0,W 22 St & 8 Ave,40.74475148,-73.99915362,0.0,2023-02-01 08:00:00
7619.05,4.0,1.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,-3.0,2023-02-01 08:00:00
5905.14,23.0,31.0,University Pl & E 14 St,40.734814,-73.992085,8.0,2023-02-01 08:00:00
6306.01,19.0,12.0,W 20 St & 10 Ave,40.745686,-74.005141,-7.0,2023-02-01 08:00:00
7646.04,4.0,3.0,W 110 St & Amsterdam Ave,40.802558184,-73.96272707,-1.0,2023-02-01 09:00:00
7619.05,1.0,0.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,-1.0,2023-02-01 09:00:00
6266.06,16.0,13.0,9 Ave & W 22 St,40.745516062,-74.001939893,-3.0,2023-02-01 09:00:00
6306.01,10.0,13.0,W 20 St & 10 Ave,40.745686,-74.005141,3.0,2023-02-01 09:00:00
6224.03,11.0,8.0,W 22 St & 8 Ave,40.74475148,-73.99915362,-3.0,2023-02-01 09:00:00
5980.07,3.0,18.0,E 17 St & Broadway,40.73704984,-73.99009296,15.0,2023-02-01 09:00:00
5905.14,21.0,25.0,University Pl & E 14 St,40.734814,-73.992085,4.0,2023-02-01 09:00:00
7617.07,3.0,4.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,1.0,2023-02-01 09:00:00
7631.23,4.0,1.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,-3.0,2023-02-01 09:00:00
7617.07,1.0,1.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,0.0,2023-02-01 10:00:00
5905.14,16.0,17.0,University Pl & E 14 St,40.734814,-73.992085,1.0,2023-02-01 10:00:00
7619.05,1.0,2.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,1.0,2023-02-01 10:00:00
6224.03,9.0,6.0,W 22 St & 8 Ave,40.74475148,-73.99915362,-3.0,2023-02-01 10:00:00
7646.04,0.0,2.0,W 110 St & Amsterdam Ave,40.802558184,-73.96272707,2.0,2023-02-01 10:00:00
6306.01,8.0,6.0,W 20 St & 10 Ave,40.745686,-74.005141,-2.0,2023-02-01 10:00:00
6266.06,18.0,9.0,9 Ave & W 22 St,40.745516062,-74.001939893,-9.0,2023-02-01 10:00:00
5980.07,2.0,12.0,E 17 St & Broadway,40.73704984,-73.99009296,10.0,2023-02-01 10:00:00
7631.23,1.0,4.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,3.0,2023-02-01 10:00:00
7631.23,8.0,6.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,-2.0,2023-02-01 11:00:00
7619.05,2.0,1.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,-1.0,2023-02-01 11:00:00
7646.04,1.0,2.0,W 110 St & Amsterdam Ave,40.802558184,-73.96272707,1.0,2023-02-01 11:00:00
5905.14,11.0,21.0,University Pl & E 14 St,40.734814,-73.992085,10.0,2023-02-01 11:00:00
6224.03,7.0,4.0,W 22 St & 8 Ave,40.74475148,-73.99915362,-3.0,2023-02-01 11:00:00
7617.07,1.0,1.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,0.0,2023-02-01 11:00:00
6306.01,6.0,6.0,W 20 St & 10 Ave,40.745686,-74.005141,0.0,2023-02-01 11:00:00
5980.07,3.0,6.0,E 17 St & Broadway,40.73704984,-73.99009296,3.0,2023-02-01 11:00:00
5905.12,3.0,3.0,Broadway & E 14 St,40.73454567,-73.99074142,0.0,2023-02-01 11:00:00
6266.06,6.0,7.0,9 Ave & W 22 St,40.745516062,-74.001939893,1.0,2023-02-01 11:00:00
5905.12,11.0,9.0,Broadway & E 14 St,40.73454567,-73.99074142,-2.0,2023-02-01 12:00:00
7617.07,5.0,11.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,6.0,2023-02-01 12:00:00
7619.05,2.0,3.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,1.0,2023-02-01 12:00:00
5905.14,19.0,19.0,University Pl & E 14 St,40.734814,-73.992085,0.0,2023-02-01 12:00:00
6224.03,12.0,6.0,W 22 St & 8 Ave,40.74475148,-73.99915362,-6.0,2023-02-01 12:00:00
7631.23,2.0,4.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,2.0,2023-02-01 12:00:00
5980.07,2.0,14.0,E 17 St & Broadway,40.73704984,-73.99009296,12.0,2023-02-01 12:00:00
